bedrooms,total_sqft,bath,balcony,price
3,1357,2,2,65
7,1600,7,1,104
2,1225,2,2,47
9,1500,6,1,80
2,1130,2,2,40
4,2500,4,1,150
3,1700,3,3,120
3,1549,3,2,65
2,1400,2,2,100
2,1080,2,2,50
2,1180,2,2,100
7,780,7,3,150
3,1800,3,2,150
2,1225,2,1,67.38
1,890,1,1,75
2,1005,2,1,39.59
2,1320,2,1,95
4,1475,2,1,50
3,1564,,,99.745
2,1110,2,2,51
2,1300,2,0,54
5,600,3,1,86
2,1128,2,1,65.35
2,1452.19,2,1,100
3,2400,3,2,290
3,2600,4,1,135
3,2500,4,2,325
2,630,1,1,35
2,1243,2,2,48.5
2,960,2,2,32
3,1690,3,2,100
2,735,2,1,35
2,1365,2,2,73
5,2849,5,0,300
2,1420,2,1,99.39
3,1570,3,3,68
2,850,1,1,32
3,1575,2,2,110
2,1418,2,2,104
2,1050,2,1,42
2,1065,2,1,42.6
3,1340,3,0,90
3,1610,3,2,92
2,1160,2,1,33.5
2,1092,2,2,44
2,1194,2,2,47
3,1455,3,1,61.5
1,734,1,0,19.82
2,799,2,1,38
3,1896,3,1,75
2,1100,2,1,48
2,1350,2,1,79
3,1355,3,1,61
2,1128,2,1,65
2,1350,2,0,90
3,3875,3,2,864
3,1493,3,2,82
2,1098,2,1,43.91
3,1900,2,1,170
3,1460,3,2,88
3,2350,4,3,285
5,1600,5,3,140
2,1091,2,1,32
2,1180,2,3,42
2,1366,3,1,76.85
3,1685,3,2,95
2,1260,2,3,100
3,3010,3,2,200
3,1330,4,1,140
2,1200,2,0,130
2,1346,2,1,96.17
1,630,1,0,13.86
3,1446,,,98.94
3,1850,3,2,140
5,2350,2,0,423
2,755,1,1,34
5,800,5,2,98
2,1194,2,2,46
3,3850,5,,316
4,4235,4,2,365
1,800,1,0,52
3,2250,3,1,195
2,1352,2,2,68
3,2002,3,2,112
4,4000,5,1,280
2,1060,2,2,45
3,1419.59,2,1,59
2,1196,2,2,51.15
3,1220,2,2,35.24
3,1595,3,2,75
2,1260,2,3,75
2,1100,2,2,47
2,1550,2,2,140
2,1180,2,3,52
4,4000,5,1,150
3,1662,3,2,85
2,1285,2,1,60
4,1080,4,1,75
3,1862,3,2,119
2,1419,2,2,48
3,1410,3,2,43.71
3,1560,2,2,62.4
5,1100,4,3,150
3,1634,3,3,78
5,5530,5,3,627
3,1150,2,3,44
2,1100,2,,53
3,1616,3,1,65
2,1392,2,1,99
3,1798,3,1,120
3,1675,3,3,75
2,792,2,1,70
5,2000,4,1,103
7,600,7,3,89
3,1700,3,2,124
2,1248,2,1,69
2,1147,2,1,54
2,1100,2,2,40
3,1527,3,2,115
5,2400,5,2,235
1,525,1,1,25
2,1100,2,3,58
2,1118,2,2,37.5
3,1476,3,1,75
3,2100,3,1,75
3,1215,2,2,46.5
2,1332,2,1,79
2,1350,2,3,49
4,600,4,1,81
2,1243,2,2,46
2,1105,2,2,49.73
3,1500,2,1,200
2,1200,2,2,50
2,1251,2,1,47.4
2,883,2,1,45
3,1400,2,3,67
3,1800,3,3,260
3,1703,3,2,113
5,2500,5,3,130
3,1250,3,,71
2,933,2,2,43
1,461.82,1,1,31.7
2,1262,2,1,75
2,915,2,2,48
3,1370,2,2,61.5
2,1210,2,3,55
3,2392,4,2,260
3,1500,2,0,85
2,1065,2,3,50
4,3100,4,2,570
3,1515,3,3,65
4,1800,4,,110
3,1445,2,3,40.31
3,1300,2,1,55
2,989,2,0,60
2,1300,2,1,85
3,1185,2,2,30.22
5,1350,3,1,110
2,1045,2,3,60
2,1205,2,2,42.18
2,1260,2,1,75
5,1320,5,2,199
3,1500,2,2,125
3,1250,2,2,42.5
2,1199,2,2,50
2,1385,2,1,83.09
6,1222,5,3,250
2,1149,2,1,75
3,2180,3,2,170
8,1200,7,1,110
10,12000,12,,525
5,1200,5,0,195
3,1818,3,1,135
2,1070,2,2,33
3,1640,3,2,241
3,1350,2,2,54.6
2,630,1,1,27
2,1430,2,2,113
3,2430,4,3,180
6,1500,7,3,220
2,1084,2,3,55
3,1186,2,1,56
2,1255,2,2,50
4,3400,5,3,240
3,1541,3,1,69.84
4,3596,5,1,282
2,1295,2,2,70
3,1000,4,3,110
3,2820,3,,285
3,1370,2,2,54.79
2,1100,2,1,40
4,4772,6,2,510
2,1370,2,1,170
3,1370,2,1,54.79
2,1200,2,2,62
4,2000,3,0,95
4,3500,4,,300
5,1200,4,3,240
4,2400,5,2,253
3,1220,3,2,62
3,1950,3,2,130
2,1178,2,3,73
3,1286,3,2,61.44
2,1160,2,2,42
2,918,2,2,55
3,1563,3,2,91.84
2,1326,2,1,62.17
3,1350,2,2,140
4,3960,5,3,386
2,1240,2,2,39.06
2,1325,2,2,50
2,1100,2,1,44
3,3875,3,2,800
3,1605,3,2,50
5,5600,5,3,515
2,1260,2,1,60
3,1553,3,2,83.09
2,1280,2,2,52
3,1550,2,2,75
3,1445,2,2,125
3,1550,3,2,74
3,1515,2,1,80.91
3,1332,2,1,86.12
3,1652,3,2,70
3,1570,3,1,105
4,5400,4,3,725
1,794,1,1,60
3,1200,2,0,62
4,3600,3,2,410
3,1200,3,2,175
4,1650,3,1,220
4,600,2,1,85
3,2800,3,2,250
3,1750,3,2,110
2,1053,2,1,48
3,1100,3,2,53
3,1665,3,3,70
4,4051,4,3,345
4,5500,5,1,1500
3,1447,3,2,80
2,1012,2,1,75
3,1900,3,2,60
2,1308,2,2,92.66
4,3250,4,,230
1,1351,2,1,53
2,1000,2,2,22
4,1200,4,2,350
2,1140,2,2,49.11
4,2249.81,4,0,260.5
3,1250,2,1,55
3,1290,3,3,45.15
2,1424,2,2,90
3,1320,2,2,60.6
3,1662,3,2,85.5
5,8321,5,3,2700
2,1200,2,2,45
3,1975,3,,210
3,1295,2,2,59.5
3,1777,3,2,100
3,1900,3,,108
3,1576,3,2,59.1
2,1020,2,3,41
3,2100,3,3,170
1,648,1,1,31.75
3,1167,2,1,38
7,1000,7,3,160
2,1220,2,2,50.89
3,2350,5,1,327
2,1259,2,1,67.4
4,2000,4,2,82
3,1800,3,1,80
3,1991,3,2,160
3,1665,3,3,110
2,1234,2,1,61
3,1340,2,2,64.31
2,1170,2,2,46.79
2,995,2,0,46
2,1075,2,2,60
2,1025,2,1,54.5
3,2721,3,2,113
3,2000,3,2,99
4,2500,4,3,155
2,1325,2,2,70
2,1314,2,3,68.2
3,2265,3,2,136
7,4800,7,0,170
2,1026,2,1,41
3,1200,3,2,66
3,2220,4,2,65
2,1070,2,0,51.22
2,1420,2,1,99.39
3,1888,4,1,95
2,1300,2,1,90.87
2,1216,2,0,97.16
4,3000,4,3,342
3,1559,3,2,63
2,1290,2,1,87
6,2400,6,,245
1,905,1,1,55
2,1069,2,,55
2,829,2,1,22.8
2,1900,2,1,200
3,1300,3,2,60
2,1115,2,1,33.45
3,2409,3,2,360
3,2150,4,2,125
3,1305,2,1,69
2,1252,2,1,56.32
5,2400,5,,250
2,1200,2,1,46.13
3,1750,3,1,130
2,545,1,1,35
2,1375,2,1,105
2,1313,2,2,66.5
4,3640,4,1,275
3,1693,3,2,108
2,1160,2,1,41.75
3,1200,3,0,200
3,1255,2,2,79
4,1000,4,1,75
2,900,2,1,45
3,1700,3,2,90
3,1875,3,1,180
3,1700,3,2,88
3,1749,3,2,115
2,1500,3,1,65
2,1175,2,1,48
2,1280,2,1,60
2,1200,2,2,50
3,1610,2,2,115
2,1070,2,1,46
2,1200,2,0,66
2,1127,2,1,50
2,1210,2,1,102
2,600,2,1,23
4,4190,4,3,380
2,1364,2,2,70
4,2268,3,0,146
3,1150,2,2,77.5
2,1146,2,1,39.5
2,1345,2,2,55
2,1110,2,2,41
2,750,2,1,36
2,1156,2,2,49.5
2,1247,2,1,59.8
2,1058,2,2,60
2,950,2,1,48
2,420,2,0,35
4,600,2,2,90
3,1520,2,1,103
2,1215,2,2,58.86
1,900,1,1,30
3,2350,3,2,174
2,1050,2,2,46
3,1672,3,2,150
5,2800,5,2,125
3,1500,2,2,65
2,1400,2,2,65
4,2700,4,2,130
2,920,2,1,37.46
3,1200,3,2,70
3,1250,3,2,139
3,1817,4,,153
5,2043,6,,375
2,1140,2,2,46
4,4346,4,1,450
2,1464,2,2,56
2,1468,3,2,130
3,1555,2,1,82
6,1200,4,2,110
2,1150,2,0,55
2,970,2,1,35
4,2500,4,3,95
2,1166,2,1,53
3,2779,3,1,317
3,1350,3,2,58
2,900,2,3,46
3,1300,2,2,52
3,1190,3,1,55
3,1495,2,2,75
2,1224,2,2,105
3,1350,2,2,68
2,940,2,1,56.8
2,1100,2,1,55
2,1300,2,2,61
3,1480,2,0,145
2,1105,2,2,46.37
3,2600,3,2,200
3,1517,3,2,76.3
6,3800,8,0,200
3,1615,3,2,89.75
3,1500,3,2,65
3,1082,3,1,50.5
2,1365,2,2,73
2,1000,2,3,25
2,1392,2,1,98
2,1086,2,1,33.66
3,1586,3,3,93.94
2,1100,2,1,60
2,1065,2,1,30.75
3,1500,2,1,120
3,1575,2,2,120
3,1975,3,3,123
2,820,2,2,24
3,1745,3,2,110
2,1223,2,1,60
3,1200,2,1,65
2,1200,2,0,90
1,665,1,1,46.08
2,1351,2,2,70
3,1355,3,1,83.87
3,3900,3,2,300
3,1588,3,1,75.55
2,900,2,1,60
3,440,3,0,50
4,3385,4,,260
3,1370,2,2,75
3,1500,3,1,71.8
3,2280,3,,285
3,1100,3,2,53
2,1247,2,0,53
3,2000,3,2,200
2,1020.07,2,1,68.38
3,1033,2,2,32
3,1460,2,3,73
2,1150,2,2,52.8
5,5965,5,,385
2,1141,2,1,46
4,2806,6,0,125.5
4,4200,4,3,325
3,1665,2,3,125
2,1295,2,2,64
2,1230,2,1,78
3,1080,2,2,75
2,1000,2,1,60
3,2400,2,0,50
1,613,1,0,32.79
3,1708,3,2,75
3,1697,3,2,115
4,3537,5,3,210
1,615,1,1,28.29
3,1350,2,0,83
3,1430,,,66.4
2,1083,2,1,32.49
3,1460,2,2,65
2,1084,2,1,58
2,1035,2,1,41.43
3,2400,2,1,150
1,460,1,1,21
5,950,5,,90
2,1285,2,2,55.9
19,2000,16,,490
3,1200,3,2,78
2,1070,2,1,35
3,1801,3,2,140
3,1697,3,2,115
2,1199,2,2,65
3,2300,3,1,220
3,1340,2,3,64.31
4,3800,4,3,205
5,600,5,,50
2,1125,2,1,75
2,1200,2,1,67
2,1050,2,3,41
2,956,2,1,49
2,1000,2,2,30
3,1596,3,0,95
6,1200,5,1,150
2,1296,2,3,89.06
6,1200,7,,170
3,1639,3,3,123
2,1219,2,1,61.25
3,1200,3,1,50
2,1218,2,1,73
2,920,2,3,37
3,2559,3,2,141
1,525,1,1,26
3,1427,2,2,48.51
3,1270,3,2,45
2,920,2,3,65
4,2700,3,2,68
3,1740,3,2,199
3,1355,2,,40
3,1530,2,2,90
3,1372,2,1,90
4,2363,5,2,120
4,3895,4,3,220
3,1950,3,2,131
2,885,2,3,40
2,600,2,2,27
5,1270,4,1,128
2,1380,2,0,225
2,1339,2,2,62
2,1130,2,1,36
2,1085,2,2,43
3,1430,3,2,72
4,1451.5,4,1,121
5,6200,5,,720
3,1490,2,1,59.6
4,1650,4,0,99
2,1286,2,2,57
2,925,2,2,63
4,3016,4,3,230
2,1000,2,2,44
2,1215,2,2,39
4,1200,3,1,95
2,1336,2,2,100
1,673,1,1,36.85
2,1200,2,1,58
6,600,7,2,63
3,1600,3,3,160
2,1200,2,0,79
6,2480,4,1,750
3,2500,3,,270
5,2400,5,3,100
2,1143,2,2,65
2,1470,2,2,61.74
4,1584,3,2,145
3,1785,3,2,94
3,2292,3,2,286
3,1460,3,3,71
3,1500,2,3,80
5,1200,4,1,140
5,3300,3,,250
2,1230,2,2,48
1,650,1,1,20
2,1480,2,,120
2,1220,2,1,43.92
3,1570,3,1,115
3,3000,3,3,400
3,1665,3,2,86.91
3,1350,3,1,380
4,4000,5,2,600
2,1100,2,0,68
3,1350,2,1,87.01
3,1719,3,2,116
1,664,1,1,35
2,1011,2,1,50.53
6,2400,6,0,130
3,1680,3,2,85
2,704,2,0,49.475
4,700,4,2,110
3,1520,2,2,150
3,1350,2,2,53
3,1760,3,,150
2,875,2,1,33
2,1231,2,2,48
2,1174,2,3,74
3,1560,3,3,75
2,1464,2,2,56
3,2200,3,2,130
2,850,2,2,55
3,1750,3,1,180
3,2024,3,,157
2,1500,1,0,160
6,2100,6,,275
3,2408,4,2,260
2,1080,2,1,44
3,2070,3,2,225
2,1020,2,1,29.46
3,1500,2,3,55
4,1575,5,1,158
4,3250,4,1,180
2,1175,2,1,47
2,1030,2,1,34.5
2,1440,2,1,115
2,1500,2,1,84
1,1380,1,1,62.1
2,1200,2,3,50
1,705,1,2,36.5
3,2240,5,2,155
3,1584.01,3,1,103
3,1340,3,3,77
3,1800,3,2,70
2,1200,2,3,45
1,685,1,1,40
2,925,2,3,42
2,1230,2,2,57
5,1200,5,1,185
2,1125,2,1,52
2,1100,2,1,54
3,2400,3,2,149
3,1400,2,2,41.58
7,1200,7,2,225
3,1858,3,1,98.3
1,1260,1,1,41
4,3530,4,2,290
2,1185,2,2,60
2,1200,2,1,216
2,1255,2,1,58
4,3436,6,3,475
3,1335,3,2,89
3,1999,3,2,132
2,1200,2,1,125
3,1397,3,2,110
10,1200,10,,105
4,3950,4,,450
2,1200,2,1,130
3,1616,3,0,95
8,1200,7,2,350
4,1270,2,1,175
2,1140,2,2,38.55
1,525,1,1,30
3,1200,2,1,98
1,700,1,1,162
2,1205.47,2,1,81
3,1200,3,2,130
3,1700,3,2,75
5,750,4,0,62
2,1090,2,1,54.54
4,3600,5,,220
1,2400,1,0,650
1,923,1,1,60.84
4,3595,6,2,360
2,1050,2,2,48
2,1495,2,2,79.5
3,1482,,,93.865
3,1485,3,2,85
3,1033,2,2,31.5
3,1400,2,1,48
1,500,1,0,70
2,944,2,1,35
5,3250,5,0,290
2,1216,2,1,66.48
2,1100,2,1,39.5
3,1743,3,2,93.25
2,1274,2,2,48.42
3,2500,3,2,425
3,1512,2,2,110
4,3100,5,1,385
3,1650,3,3,100
3,1875,3,1,55
3,1350,3,2,54
2,1219,2,2,40
4,1200,4,1,150
3,2400,3,3,85
2,1141,2,1,44.4
2,1151,2,1,43.1
3,832,3,1,77
2,915,2,1,38
3,3259,3,0,270
2,1115,2,1,65.12
3,2072,4,2,139
2,1200,2,2,53
2,1300,2,2,65
2,1457,2,2,85
2,1262,2,2,55
4,1196,3,1,150
2,900,2,2,22.5
1,420,1,1,17
2,1160,2,1,46.39
2,1115,2,2,50
3,1315,2,1,85.4
2,1500,2,2,57
2,1127,2,1,68
3,1397,3,2,104
2,1173,2,1,60
2,1090,2,2,28
3,2720,5,,210
2,1230,2,1,76
4,3200,3,3,190
2,858,2,1,31.57
3,1868,3,1,121
3,1689.28,3,2,91.2
4,600,3,2,73
3,1425,3,3,49.88
6,1200,6,2,170
2,1350,2,1,100
6,4200,6,0,180
3,1310,2,1,85
4,2805,,,175
2,970,2,1,40
3,1397,3,3,108
2,1157,2,1,40
2,1125,2,1,61.2
2,1157,2,1,42
2,1241,2,1,82
1,660,1,1,62
4,4000,4,3,220
4,2340,4,1,148
1,596,1,1,42
16,10000,16,,550
4,1200,4,3,110
3,1910,3,1,190
2,1139,2,2,80
4,3122,5,2,225
2,1033,2,2,28.41
2,1168,2,2,64.08
2,877,2,3,42
2,1340,2,2,75
3,1405,2,2,70
3,1800,3,3,65
3,1750,3,3,149
3,1360,2,1,65
3,675,2,0,148
2,985,2,1,63
2,1300,2,1,129
3,1850,3,2,150
3,1490,2,3,88
2,620,1,1,25
2,1130,2,1,42.3
2,1080,2,2,55
4,3126,4,,120
3,1410,2,3,52.17
3,1375,3,2,59
3,1290,2,1,94.5
3,1318,2,1,85.28
2,1128,2,1,68
4,4428,4,2,255
2,1051,2,2,56.74
3,3500,5,0,275
4,2400,4,1,130
2,1327,2,3,85
4,2912,6,2,210
2,1301,2,2,55
1,650,1,0,30
3,1200,3,1,67.75
3,1500,2,2,89.99
4,2700,6,,675
4,1350,4,2,145
2,1000,2,1,28.88
2,984,2,1,45.91
3,1819.18,3,1,160
1,900,1,0,175
3,1355,3,1,83.87
3,2145,4,1,270
3,2475,4,3,300
2,1118,2,0,30
1,910,1,1,42
3,1250,3,2,39
2,1304,2,3,100
3,1615,3,2,58
2,1400,2,2,68
2,1070,2,2,47.5
3,3500,3,3,395
2,1132,2,1,89.37
3,2000,3,2,85
7,2400,5,1,550
1,794,1,2,65
2,1090,2,2,43.59
3,1500,3,2,70
3,2059,3,2,225
1,525,1,1,30
2,1447,2,1,75.97
2,1269,2,1,75
4,4800,4,0,700
2,1070,2,2,37.45
2,1150,2,0,28
2,1208,2,2,70
2,1185,2,1,45.5
3,1200,3,1,130
2,888,2,1,34
2,1015,2,2,25.88
1,532,1,1,22.49
3,1060,3,1,62
1,700,1,1,35
2,902,2,2,42
6,600,3,3,95
2,1175,2,1,47
2,1365,2,1,122
2,984,2,1,51
4,2700,2,2,100
3,1475,3,2,96
2,1300,2,2,79
5,1200,6,1,220
3,1453,2,2,43.59
2,1550,2,3,160
3,1666,3,,95
4,1410,4,2,160
4,4025,5,3,800
3,1845,3,3,91
3,1676,3,3,52
2,1137,2,1,63
3,1360,2,1,70.5
3,1374,2,2,70
3,1700,3,2,155
5,3227,5,0,250
4,2145,4,,125
4,2400,6,3,600
3,2170,3,2,151
2,1080,2,1,55
3,1790,3,3,100
1,550,1,1,17
3,1270,2,2,50.79
2,1033,2,2,48
2,1000,2,1,80
4,2940,6,2,280
2,1240,2,2,52.6
5,1650,5,1,450
2,883,2,1,39
3,1500,2,0,97
3,1730,3,3,139
3,1915,3,3,80
3,1545,3,2,79
3,1865,4,2,140
2,1150,2,2,40
2,1200,2,2,49
2,963,2,2,40
3,1200,3,1,120
4,2600,4,3,260
4,1700,4,,108
3,1682,3,1,120
3,1371,2,2,65
2,901,2,1,49.5
7,600,7,0,73
3,1730,3,1,120
4,1200,4,0,125
3,1500,3,3,102
4,3785,6,,280
4,3500,4,2,245
2,1203,2,1,59.86
2,1357,2,2,54
3,1600,3,2,76
1,350,1,1,13.5
3,1665,3,1,53
3,1400,3,3,200
1,835,1,1,46.95
2,815,3,2,160
3,1444,2,1,80
2,1277,2,2,55
3,1521,3,1,94.71
2,1134,2,1,40
2,995,2,1,34.82
3,2760,5,2,157
2,1325,1,1,92
6,4000,6,,150
3,1525,3,2,90
3,1320,2,2,73
1,650,1,1,23
3,1858,2,1,167
2,1150,2,1,38
2,769,2,1,40
3,1571,3,2,105
3,1445,3,1,86.56
3,1590,2,2,135
2,902,2,2,49
3,2238,3,1,140
2,1090,2,1,31.49
3,1712,3,3,82
2,1088,2,1,68
3,1575,3,3,63.1
6,2150,6,3,205
3,1920,3,2,150
2,1000,2,0,57
2,1100,2,2,56.1
2,1089,2,2,45
2,1106,2,1,43.09
2,927,2,2,37
2,1339,2,2,58
1,923,1,1,45.69
3,2900,3,2,285
2,1175,2,2,75
2,975,2,1,55
3,2400,4,1,180
3,1330,3,2,72
2,1183,2,1,59.74
3,1758,3,2,133
3,1200,3,2,265
3,1255,2,1,77.68
3,600,4,2,110
2,1100,2,2,50
2,1170,2,2,46.8
5,2400,5,2,120
3,1530,3,3,51.77
2,1420,2,2,107
4,1200,4,2,300
6,1045,6,3,160
3,1591,3,1,115
3,1680,3,2,120
2,675,3,1,52
2,1055,2,1,57.63
3,1918,3,2,129
2,1280,2,1,76
3,1560,3,3,66
2,1145,2,2,49.5
3,2106,3,2,126
3,1801,3,2,139
5,1200,5,3,120
2,1718,3,2,288
3,1306,3,2,54.65
2,1320,2,1,92
3,1350,2,2,65
4,2990,4,,324
4,3800,5,3,300
3,1344,2,1,42
3,1893,3,2,100
3,1107,2,1,43
9,1200,10,,180
2,1190,2,1,75
2,1000,2,1,35
2,2400,2,1,160
2,1000,2,1,48.5
3,2113,3,2,155
2,1100,2,1,46
5,1200,4,1,160
4,1884,4,2,120
2,1110,2,1,40
2,1027,2,2,43
3,1250,3,2,40
3,1470,3,0,62
2,1150,2,1,75
3,1200,3,2,165
1,703,1,1,52
3,1400,2,2,62
2,1195,2,2,51
2,1302,2,1,69.1
3,1583,3,1,74.4
3,1488,2,3,60
4,600,5,2,85
3,1385,2,2,34.63
4,3262,4,2,260
3,1600,3,2,104
2,1150,2,1,90
9,4500,9,,166
2,1263,2,1,78
7,1200,8,2,110
2,1299,2,2,85
2,1330,2,1,78
3,1282,2,2,52.43
3,1853,3,2,82
2,861,2,1,35
3,1600,3,2,95
2,1256,2,1,62.8
3,1390,2,2,80
3,1550,2,,90
11,1200,6,3,150
2,919,2,1,49
3,1625,3,0,80
2,1195,2,2,44
6,2400,4,1,600
2,1159,2,1,60
3,1386,3,1,57.46
2,1197,2,1,79
4,2690,4,3,191
4,3293,,,226
3,1295,2,1,50.28
3,1310,2,1,37.83
2,1132,2,1,79.28
3,2350,3,2,400
4,2400,4,,500
3,1645,3,2,135
2,1200,2,1,45.84
4,3000,4,0,330
3,1937,3,2,140
2,1015,2,2,33.5
2,1080,2,2,39
3,1350,2,2,80.99
3,1149,2,2,29
2,1185,2,2,59
3,1720,3,1,135
3,2080,3,3,175
3,1500,3,1,87
3,1566,3,2,97
3,2386,3,,334
4,1500,4,0,110
2,1290,2,1,49.02
3,1531,3,2,72
3,1839,3,3,165
4,4200,4,1,760
3,1400,2,2,40.43
2,550,1,1,15
2,1140,2,2,39
3,1210,3,0,57.76
4,2000,4,0,100
2,1100,2,1,46
2,1200,2,2,55
3,1618,3,1,68
4,2830,5,2,160
3,1315,2,2,74
2,1141,2,1,42.75
2,1080,2,2,55
2,1200,2,2,60
2,1111,2,2,41.88
2,1022,2,1,45.9
2,1275,2,2,65
2,900,2,1,70
2,1224,2,3,39.2
2,1135,2,3,43
2,1050,2,2,52.1
3,1535,3,2,86
2,1392,2,1,130
2,1050,2,2,72
3,1513,3,1,103
3,1621,3,3,72
2,892,2,1,39
2,1205,2,1,40
3,1355,3,2,83.87
5,1250,5,,300
7,1650,9,,345
4,1200,6,3,70
2,1400,2,2,168
2,726,2,1,35
3,1500,3,2,149
4,3895,4,2,405
2,1079,2,2,41
2,1170,2,2,46
2,1104,2,2,39
2,950,2,1,45
4,4818,4,3,390
3,1650,2,1,52
3,1559,3,2,127
2,1100,2,1,38
3,1750,3,3,150
2,1215,2,1,45.5
3,1868,3,1,135
2,1130,2,1,32.63
3,1570,3,3,64.5
3,1691,3,1,98
5,4355,3,1,350
2,1225,2,2,55
3,1690,3,2,112
2,1418,2,2,103
4,1896,3,1,125
1,605,1,1,40
5,800,5,2,95
2,900,2,2,32.5
1,750,2,0,50
3,780,3,1,62
2,908,2,1,26
4,3369,6,0,143
4,3216,4,1,226
5,2400,4,1,225
2,1400,2,2,68
2,1092,2,2,44
2,1255,2,2,74
3,1500,2,1,100
2,1296,2,2,72
2,925,2,3,38
2,1023,2,2,42
2,600,3,2,75
2,1020,2,1,44.5
3,1530,3,2,77
3,1650,3,2,71
3,1605,2,3,85
2,1925,2,1,50
2,1190,2,2,50.66
3,1374,3,2,68
2,1140,2,2,65
3,1725,3,2,130
3,1075,2,1,50
3,1574,3,1,93.34
1,965,1,1,32
3,1550,3,2,83
2,1205,2,2,60
3,1082,2,1,55
3,1215,2,2,52.85
4,2483,5,2,230
2,1200,3,1,46.14
1,1500,1,1,19.5
4,2360,4,2,600
4,3198,4,,250
3,1452,3,3,60.98
3,1329,2,2,41
2,1125,2,1,44
2,1200,2,0,70
3,1350,3,3,39.97
3,1125,3,0,51.19
3,2600,3,2,195
2,1200,2,1,160
3,1220,3,1,35.23
2,1255,2,1,80
3,1904,3,3,155
2,1329,2,2,70
2,1200,2,1,60
3,2135,3,2,160
3,2770,4,3,315
1,813,1,1,39
4,3884,4,3,240
3,3876,3,1,300
2,800,2,2,30
4,4750,2,1,120
3,1500,3,3,70
3,1880,3,2,95
3,1440,2,2,55
3,1575,3,,90
3,1630,2,2,97.78
3,1180,3,1,55
2,1090,2,1,36
2,1020,2,2,48.45
4,2425,4,3,173
2,1097,2,1,33.82
2,1070,2,1,50
2,1000,2,1,58
8,1120,8,,150
2,1150,2,1,56
3,1900,4,2,145
2,1141,2,2,49
2,937,2,1,44
2,1075,2,1,60
2,1000,2,1,65.3
3,1450,3,,77.41
5,897,2,1,85
2,936,2,2,43
2,1280,2,1,75
2,1050,2,3,45
2,1350,2,1,86
2,1325,2,1,70
2,1174,2,1,59
3,1890,3,2,162
1,735,1,1,75
1,500,1,0,24
3,1304,3,3,80
3,1653,3,2,120
3,1075,2,1,52
2,1212,3,1,42
2,1100,2,1,50
4,3436,6,3,500
3,1200,4,0,145
2,1140,2,2,50
2,1200,2,1,100
3,1532,3,2,83
3,2776,4,2,195
3,1531,2,0,75
3,1270,2,2,50.79
2,1325,2,1,53
3,1200,3,1,160
3,1156,2,2,44
4,2000,4,2,320
2,1260,2,2,70
2,1934,2,0,90
2,1060,2,1,40
3,1476,3,1,95
2,1185,2,1,85
3,1265,2,1,82
4,3200,5,1,150
2,1196,2,2,56.81
2,1280,2,1,69
4,800,4,2,86
2,1175,2,,45
3,1850,3,3,98
4,2400,4,2,525
2,1195,2,1,70
3,2000,3,3,185
7,600,4,0,100
4,800,5,3,155
2,1180,2,2,36.5
2,1050,2,1,49.87
3,1400,2,1,40.44
4,2360,4,2,150
2,1030,2,1,77.25
2,1512,1,2,65.01
2,929,2,1,48
3,1252,3,3,61
3,1485,3,2,115
3,1124,2,2,55
6,2400,6,3,370
3,1407,3,1,120
3,1482,2,3,97
2,1163,2,1,98.86
3,1570,3,2,140
3,3480,4,,284
1,520,1,1,14.04
3,2000,3,2,160
2,1352,2,2,75
2,1152,2,1,65
3,1575,3,2,93
3,1965,4,2,125
3,1300,2,2,70
4,1,4,,120
2,957,2,1,47
3,1740,3,3,60
5,1080,6,3,65
2,1060,2,0,35
2,975,2,2,50
2,1150,2,2,51
3,1738,2,3,79
3,1250,3,2,55
3,1788,3,2,90
2,1151,2,1,59
3,1300,2,2,60
2,1150,2,1,52.8
2,1380,2,1,75
3,1645,3,2,117
2,1141,2,1,45.9
2,1175,2,2,82.5
3,1355,2,1,61
2,1150,2,0,70
5,5800,5,,80
2,1000,2,2,45
2,1007,2,1,65
4,3000,5,2,100
3,1436,3,3,70
4,4000,4,3,220
3,2372,3,,140
6,1500,6,,240
2,1200,2,0,150
2,1016,2,1,58
2,1100,2,2,48
2,1080,2,1,45
2,1070,2,1,60
3,1532,3,1,115
2,1040,2,2,42.12
3,3100,3,3,250
2,1076,2,0,48.905
3,1430,2,2,51.6
2,1160,1,0,163
4,3262,5,2,205
7,2100,7,0,410
2,1190,2,2,100
3,1827,3,3,100
2,1210,2,1,75
3,1500,3,3,95
2,1050,2,2,53.5
2,1251,2,1,88.73
3,1600,2,2,115
2,1128,2,1,65.5
3,1820,3,2,93
3,2072,4,2,159
3,1510,2,3,59
3,1925,2,3,114
3,2651,2,2,225
3,2072,4,2,147
2,1000,2,2,36
3,1752,3,2,145
2,960,2,3,56
2,1180,2,2,63
3,2270,3,1,180
2,650,2,0,59
2,1200,2,1,75
3,1180,2,1,46
3,1300,3,2,47
2,1157,2,0,40
3,1300,3,2,69
3,1305,2,1,59
3,2006,4,2,196
2,1290,2,1,80
2,1170,2,3,45
4,971,2,2,135
2,1400,2,3,78
2,1200,2,2,75
3,1155,2,0,60
3,1725,3,2,85
2,700,2,1,40
4,7000,5,,2050
2,1112,2,1,88
2,1178,2,,78
2,1274,2,1,81
2,915,2,1,32
8,1650,6,2,135
1,760,1,2,21.28
3,1540,3,2,68
2,1206,2,3,38.5
3,1645,3,2,95
4,1200,4,2,170
4,1200,4,1,140
4,2342,3,2,115
